,subject,session,block,trial,difficulty,stim_end,response,rt,stim_onset
1,BE,02,1.0,1.0,52.0,0.75,2.0,0.6179454000084661,4.612398099969141
2,BE,02,1.0,2.0,52.0,5.0,2.0,0.47024759999476373,7.644808400014881
3,BE,02,1.0,3.0,48.0,0.5,1.0,0.6248557000071742,14.73918059997959
4,BE,02,1.0,4.0,52.0,7.0,2.0,0.5180729999556206,17.524933999986388
5,BE,02,1.0,5.0,48.0,0.1,2.0,1.5074155999463983,26.669448099972215
6,BE,02,1.0,6.0,48.0,3.0,2.0,0.40593120001722127,29.90723379998235
7,BE,02,1.0,7.0,52.0,0.3,1.0,0.7827787999995053,34.93718629999785
8,BE,02,1.0,8.0,52.0,5.0,2.0,1.7083214000449516,37.622889399994165
9,BE,02,1.0,9.0,20.0,0.5,1.0,0.4304478000267409,45.93954220000887
10,BE,02,1.0,10.0,90.0,0.3,2.0,0.3594270999892615,48.503224799991585
11,BE,02,1.0,11.0,48.0,5.0,2.0,0.5437556999968365,50.773829800018575
12,BE,02,1.0,12.0,48.0,7.0,1.0,0.4817449999973178,57.94717669999227
13,BE,02,1.0,13.0,52.0,1.0,2.0,0.45127810002304614,67.04853019997245
14,BE,02,1.0,14.0,52.0,0.1,,,70.11833289999049
15,BE,02,1.0,15.0,52.0,3.0,2.0,0.36589449999155477,73.84787689999212
16,BE,02,1.0,16.0,52.0,0.75,1.0,1.3071303999749944,78.83106649998808
17,BE,02,1.0,17.0,52.0,3.0,1.0,0.3894610999850556,82.51646810001694
18,BE,02,1.0,18.0,80.0,0.3,2.0,0.3845160999917425,87.52425189997302
19,BE,02,1.0,19.0,48.0,0.5,1.0,0.4261117000132799,89.82043449999765
20,BE,02,1.0,20.0,52.0,0.1,2.0,1.1986902000498958,92.37016599997878
21,BE,02,1.0,21.0,48.0,7.0,1.0,0.5992297000484541,95.29906749998918
22,BE,02,1.0,22.0,52.0,0.1,2.0,0.8905149000347592,104.51626309996936
23,BE,02,1.0,23.0,52.0,5.0,1.0,0.4749619999784045,107.1084886000026
24,BE,02,1.0,24.0,52.0,0.1,2.0,1.5063381000072695,114.19544749998022
25,BE,02,1.0,25.0,52.0,0.3,2.0,1.633724000013899,117.43168689997401
26,BE,02,1.0,26.0,52.0,3.0,2.0,0.49512330000288785,120.9754487000173
27,BE,02,1.0,27.0,52.0,0.75,2.0,0.5590041000396013,126.08869699999923
28,BE,02,1.0,28.0,10.0,0.5,1.0,0.3416684999829158,129.02206589997513
29,BE,02,1.0,29.0,48.0,0.75,1.0,0.6423769999528304,131.49685399996815
30,BE,02,1.0,30.0,48.0,0.5,1.0,0.5747542000026442,134.50311290001264
31,BE,02,1.0,31.0,48.0,0.5,1.0,0.6151477000094019,137.1942149999668
32,BE,02,1.0,32.0,52.0,1.0,2.0,0.45702309999614954,139.92592680000234
33,BE,02,1.0,33.0,52.0,0.3,1.0,0.7195554000209086,143.0001405000221
34,BE,02,1.0,34.0,48.0,7.0,1.0,0.43362389999674633,145.6395637000096
35,BE,02,1.0,35.0,48.0,7.0,1.0,0.3784241999965161,154.69284879998304
36,BE,02,1.0,36.0,52.0,0.75,2.0,0.4202338000177406,163.6967483999906
37,BE,02,1.0,37.0,52.0,0.5,1.0,0.5137010000180453,166.48194769996917
38,BE,02,1.0,38.0,52.0,0.1,,,169.1221676999703
39,BE,02,1.0,39.0,48.0,1.0,1.0,0.5302744000218809,172.85294999997132
40,BE,02,1.0,40.0,48.0,1.0,1.0,0.35875550005584955,176.0176149000181
41,BE,02,1.0,41.0,52.0,0.5,2.0,0.6349944000248797,178.99673740001163
