,subject,session,block,trial,difficulty,stim_end,response,rt,stim_onset
1,PV,1,1,1,10,0.3,1,0.7599281,4.6011617
2,PV,1,1,2,48,3,1,0.9621679,7.307175
3,PV,1,1,3,48,5,1,1.1554537,12.8990257
4,PV,1,1,4,52,0.1,2,0.9436175,20.678147
5,PV,1,1,5,90,0.75,2,0.4881439,23.3472765
6,PV,1,1,6,52,0.75,1,0.9011999,26.2093348
7,PV,1,1,7,52,1,2,0.7265402,29.4737351
8,PV,1,1,8,52,0.5,,,32.8263665
9,PV,1,1,9,52,0.75,2,1.0023712,36.938886
10,PV,1,1,10,52,0.1,2,1.0217361,40.3190174
11,PV,1,1,11,48,1,2,0.8376476,43.0719091
12,PV,1,1,12,52,3,1,0.5578367,46.5365379
13,PV,1,1,13,48,5,1,0.3682706,51.7152328
14,PV,1,1,14,52,7,1,0.7318301,58.7107111
15,PV,1,1,15,52,0.3,,,68.0573743
16,PV,1,1,16,48,0.3,1,0.8092839,71.972405
17,PV,1,1,17,48,0.1,1,1.8418899,74.7068785
18,PV,1,1,18,20,0.5,1,0.5243394,78.2704575
19,PV,1,1,19,52,3,2,0.6637629,80.9176585
20,PV,1,1,20,52,0.3,1,1.0057308,86.1988246
21,PV,1,1,21,48,0.1,1,1.0330018,89.1305699
22,PV,1,1,22,10,0.75,1,0.61855,91.8799869
23,PV,1,1,23,10,0.5,1,0.6404837,94.8620423
24,PV,1,1,24,52,0.5,2,0.7728907,97.6272824
25,PV,1,1,25,48,5,1,0.517849,100.5253043
26,PV,1,1,26,52,5,2,0.672493,107.6574207
27,PV,1,1,27,52,7,1,0.5677355,114.9523836
28,PV,1,1,28,52,0.75,2,0.6771716,124.1495607
29,PV,1,1,29,48,1,1,0.6306194,127.1978338
30,PV,1,1,30,48,0.3,,,130.4460841
31,PV,1,1,31,48,0.3,2,1.7102875,134.3607617
32,PV,1,1,32,52,7,2,0.5619162,137.9921589
33,PV,1,1,33,80,0.5,2,0.8481817,147.1734652
34,PV,1,1,34,52,3,1,0.5342148,150.1376584
35,PV,1,1,35,48,3,1,0.5522249,155.2841028
36,PV,1,1,36,52,3,2,0.5813482,160.4500147
37,PV,1,1,37,52,0.3,2,1.3308412,165.6508306
38,PV,1,1,38,48,0.75,1,0.6808934,168.8957788
39,PV,1,1,39,52,1,1,0.7066445,171.9457949
40,PV,1,1,40,48,0.1,2,0.9377332,175.2756944
41,PV,1,1,41,52,7,1,0.8417664,177.9451717
