,subject,session,block,trial,difficulty,stim_end,response,rt,stim_onset
1,YW,1,1,1,52,2.5,1,1.5518871,4.6067901
2,YW,1,1,2,52,4,2,0.6456803,10.3052617
3,YW,1,1,3,10,1,1,0.5640576,16.5853958
4,YW,1,1,4,52,4,1,0.4853466,19.7677649
5,YW,1,1,5,52,3.5,2,0.7203601,25.8824333
6,YW,1,1,6,52,3.5,2,0.4654416,31.7290198
7,YW,1,1,7,52,2,2,0.6696869,37.3105714
8,YW,1,1,8,52,2,2,0.7555887,41.609761
9,YW,1,1,9,80,1.5,2,0.6268528,45.9905765
10,YW,1,1,10,48,2,2,0.6340943,49.7394445
11,YW,1,1,11,48,1,2,0.8351661,54.0031043
12,YW,1,1,12,52,2.5,2,0.6213656,57.4514048
13,YW,1,1,13,52,2.5,1,0.5467359,62.2004295
14,YW,1,1,14,52,2.5,2,0.5692546,66.8638597
15,YW,1,1,15,48,1,2,0.7309033,71.5625121
16,YW,1,1,16,52,3,2,0.4828443,74.9127334
17,YW,1,1,17,48,1.5,1,0.5778896,80.0247276
18,YW,1,1,18,52,2.5,2,0.9899852,83.7246853
19,YW,1,1,19,48,3,2,0.5655288,88.8386675
20,YW,1,1,20,52,3.5,2,0.6756168,94.0356383
21,YW,1,1,21,52,1,2,0.4575646,99.8345673
22,YW,1,1,22,48,2,2,0.3236473,102.9150362
23,YW,1,1,23,48,2,2,0.5709642,106.8646533
24,YW,1,1,24,48,3,1,1.0989401,111.0599101
25,YW,1,1,25,52,1,2,0.7503484,116.7761093
26,YW,1,1,26,52,0.5,1,0.9477925,120.1566344
27,YW,1,1,27,52,1.5,2,0.6837644,123.2216978
28,YW,1,1,28,48,1.5,2,0.589102,127.0212699
29,YW,1,1,29,48,1.5,1,0.4328332,130.7377428
30,YW,1,1,30,48,4,2,0.4656448,134.2990653
31,YW,1,1,31,48,0.5,2,1.1389142,140.39774
32,YW,1,1,32,52,3.5,2,0.4469682,143.6646247
33,YW,1,1,33,48,0.5,2,0.9149559,149.2466697
34,YW,1,1,34,48,3.5,2,1.1486033,152.2920084
35,YW,1,1,35,52,1.5,2,0.6112374,158.5568359
36,YW,1,1,36,52,3,2,0.6507163,162.2890657
37,YW,1,1,37,52,4,2,0.4853261,167.567711
38,YW,1,1,38,52,4,2,0.7463111,173.6827701
39,YW,1,1,39,90,1.5,2,0.6329218,180.0498397
40,YW,1,1,40,52,3,1,1.7840545,183.8111175
41,YW,1,1,41,48,2,1,0.6708489,190.2080334
42,YW,1,1,42,52,2.5,1,0.6791984,194.5070432
43,YW,1,1,43,90,0.5,2,0.2252345,199.3049306
44,YW,1,1,44,52,0.5,2,1.0336773,201.6551378
45,YW,1,1,45,48,1,1,0.7050113,204.8185605
46,YW,1,1,46,52,2,2,0.5986381,208.1503203
47,YW,1,1,47,52,0.5,2,0.9376821,212.3658984
48,YW,1,1,48,52,2,2,0.4308461,215.4315835
49,YW,1,1,49,52,1,2,0.544248,219.4780908
50,YW,1,1,50,52,0.5,2,0.6504792,222.6459527
51,YW,1,1,51,48,1.5,2,0.5015113,225.4270791
52,YW,1,1,52,48,4,1,1.8127672,229.0635737
53,YW,1,1,53,52,3.5,2,0.6627113,236.5043803
54,YW,1,1,54,52,1.5,2,1.0829702,242.2845857
55,YW,1,1,55,48,0.5,2,1.3269915,246.4838658
56,YW,1,1,56,48,0.5,1,0.6924895,249.9317452
57,YW,1,1,57,80,1,2,0.5510836,252.7507272
58,YW,1,1,58,48,3.5,2,0.92541,255.9304073
59,YW,1,1,59,48,4,2,0.5293285,261.9790044
60,YW,1,1,60,52,2.5,1,0.6769162,268.1230355
61,YW,1,1,61,48,1.5,1,0.756809,272.9212643
62,YW,1,1,62,52,2,2,0.5056399,276.8033992
63,YW,1,1,63,80,0.5,2,0.5767618,280.9668501
64,YW,1,1,64,52,3.5,2,0.5577702,283.6668709
65,YW,1,1,65,48,3.5,2,0.5637407,289.3492248
66,YW,1,1,66,52,1.5,2,0.4943999,295.0342077
67,YW,1,1,67,52,1,2,0.9287034,298.6448512
68,YW,1,1,68,52,1.5,2,0.409392,302.1927415
69,YW,1,1,69,48,3,1,0.5227652,305.7252476
70,YW,1,1,70,20,1,1,0.5049888,310.9399567
71,YW,1,1,71,52,2,,,314.0711965
72,YW,1,1,72,48,0.5,1,0.4918045,319.6851516
73,YW,1,1,73,52,0.5,2,0.8849935,322.2999881
74,YW,1,1,74,52,4,1,0.6588114,325.2983483
75,YW,1,1,75,10,1.5,1,0.9986163,331.5793993
76,YW,1,1,76,52,3,2,0.5246471,335.6940216
77,YW,1,1,77,52,3,1,1.8238607,340.8455522
78,YW,1,1,78,48,2.5,2,0.7070171,347.2947912
79,YW,1,1,79,52,0.5,2,0.6132276,352.1227301
80,YW,1,1,80,90,1,2,0.6379113,354.8533781
81,YW,1,1,81,48,2.5,1,0.6602387,358.1187837
82,YW,1,1,82,48,1,1,1.121243,362.898242
83,YW,1,1,83,48,2.5,1,0.5103357,366.6474312
84,YW,1,1,84,52,1.5,1,0.6757996,371.2775491
85,YW,1,1,85,52,3,2,0.5775442,375.07726
86,YW,1,1,86,48,1,2,0.6015364,380.2744307
87,YW,1,1,87,52,1,2,0.8596455,383.5051229
88,YW,1,1,88,52,1.5,2,0.7564133,386.9875007
89,YW,1,1,89,10,0.5,1,0.4733997,390.8695043
90,YW,1,1,90,48,3.5,1,0.5137958,393.4697849
91,YW,1,1,91,48,4,1,0.5518297,399.0980673
92,YW,1,1,92,52,2,1,0.8467321,405.2787195
93,YW,1,1,93,52,3,2,0.5248536,409.7430937
94,YW,1,1,94,52,1,1,0.8484624,414.8911688
95,YW,1,1,95,52,0.5,2,1.1901739,418.3556312
96,YW,1,1,96,20,0.5,1,0.230438,421.6738566
97,YW,1,1,97,48,3,1,0.4675887,424.0384046
