difficulty,stim_end
52,0.5
52,1
52,1.5
52,2
52,2.5
52,3
52,3.5
52,4
52,4.5
52,5
52,0.5
52,1
52,1.5
52,2
52,2.5
52,3
52,3.5
52,4
52,4.5
52,5
52,0.5
52,1
52,1.5
52,2
52,2.5
52,3
52,3.5
52,4
52,4.5
52,5
52,0.5
52,1
52,1.5
52,2
52,2.5
52,3
52,3.5
52,4
52,4.5
52,5
52,0.5
52,1
52,1.5
52,2
52,2.5
52,3
52,3.5
52,4
52,4.5
52,5
52,0.5
52,1
52,1.5
52,2
52,2.5
52,3
52,3.5
52,4
52,4.5
52,5
52,0.5
52,1
52,1.5
52,2
52,2.5
52,3
52,3.5
52,4
52,4.5
52,5
52,0.5
52,1
52,1.5
52,2
52,2.5
52,3
52,3.5
52,4
52,4.5
52,5
52,0.5
52,1
52,1.5
52,2
52,2.5
52,3
52,3.5
52,4
52,4.5
52,5
52,0.5
52,1
52,1.5
52,2
52,2.5
52,3
52,3.5
52,4
52,4.5
52,5
52,0.5
52,1
52,1.5
52,2
52,2.5
52,3
52,3.5
52,4
52,4.5
52,5
52,0.5
52,1
52,1.5
52,2
52,2.5
52,3
52,3.5
52,4
52,4.5
52,5
52,0.5
52,1
52,1.5
48,0.5
48,1
48,1.5
48,2
48,2.5
48,3
48,3.5
48,4
48,4.5
48,5
48,0.5
48,1
48,1.5
48,2
48,2.5
48,3
48,3.5
48,4
48,4.5
48,5
48,0.5
48,1
48,1.5
48,2
48,2.5
48,3
48,3.5
48,4
48,4.5
48,5
48,0.5
48,1
48,1.5
48,2
48,2.5
48,3
48,3.5
48,4
48,4.5
48,5
48,0.5
48,1
48,1.5
48,2
48,2.5
48,3
48,3.5
48,4
48,4.5
48,5
48,0.5
48,1
48,1.5
48,2
48,2.5
48,3
48,3.5
48,4
48,4.5
48,5
48,0.5
48,1
48,1.5
48,2
48,2.5
48,3
48,3.5
48,4
48,4.5
48,5
48,0.5
48,1
48,1.5
48,2
48,2.5
48,3
48,3.5
48,4
48,4.5
48,5
48,0.5
48,1
